day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
0;0;ASH_COATED_OSMIUM;9992;23;;;;;10011;13;;;;;10001.5;0.0
0;0;INTARIAN_PEPPER_ROOT;11991;20;;;;;12006;11;12009;20;;;11998.5;0.0
0;100;INTARIAN_PEPPER_ROOT;11994;12;11991;20;;;12010;20;;;;;12002.0;0.0
0;100;ASH_COATED_OSMIUM;9995;15;9992;21;;;10013;21;;;;;10004.0;0.0
0;200;INTARIAN_PEPPER_ROOT;11991;21;;;;;12007;10;12010;21;;;11999.0;0.0
0;200;ASH_COATED_OSMIUM;9994;14;9992;21;;;10013;21;;;;;10003.5;0.0
0;300;ASH_COATED_OSMIUM;10000;4;9994;15;9992;26;10010;15;10013;26;;;10005.0;0.0
0;300;INTARIAN_PEPPER_ROOT;11994;11;11991;18;;;12007;11;;;;;12000.5;0.0
0;400;ASH_COATED_OSMIUM;9994;10;9991;26;;;10010;10;10012;26;;;10002.0;0.0
0;400;INTARIAN_PEPPER_ROOT;;;;;;;12007;9;12010;23;;;12007.0;-122.0
0;500;INTARIAN_PEPPER_ROOT;11994;10;11991;17;;;12007;10;12010;17;;;12000.5;-120.0
0;500;ASH_COATED_OSMIUM;9994;13;9991;23;;;10010;13;10012;23;;;10002.0;0.0
0;600;INTARIAN_PEPPER_ROOT;11994;12;11991;17;;;12007;12;;;;;12000.5;-182.0
0;600;ASH_COATED_OSMIUM;9994;15;;;;;10010;15;;;;;10002.0;0.0
0;700;ASH_COATED_OSMIUM;9994;11;;;;;;;;;;;9994.0;0.0
0;700;INTARIAN_PEPPER_ROOT;11994;12;11991;15;;;12007;12;12010;15;;;12000.5;-254.59375
0;800;ASH_COATED_OSMIUM;9991;24;;;;;10009;13;10012;24;;;10000.0;0.0
0;800;INTARIAN_PEPPER_ROOT;;;;;;;12010;20;;;;;12010.0;-324.8125
0;900;INTARIAN_PEPPER_ROOT;11994;11;11991;22;;;12007;11;12010;22;;;12000.5;-319.375
0;900;ASH_COATED_OSMIUM;9992;12;9990;20;;;10008;12;10011;20;;;10000.0;0.0
0;1000;INTARIAN_PEPPER_ROOT;11994;12;11991;15;;;12007;12;12010;15;;;12000.5;-380.0
0;1000;ASH_COATED_OSMIUM;9993;14;9990;30;;;10011;30;;;;;10002.0;0.0
0;1100;ASH_COATED_OSMIUM;;;;;;;10009;15;10011;21;;;10009.0;5.044921875
0;1100;INTARIAN_PEPPER_ROOT;11995;8;11992;25;;;;;;;;;11995.0;-444.3125
0;1200;ASH_COATED_OSMIUM;;;;;;;10009;10;10012;22;;;10009.0;6.029296875
0;1200;INTARIAN_PEPPER_ROOT;11995;9;11992;15;;;12011;15;;;;;12003.0;-436.5625
0;1300;INTARIAN_PEPPER_ROOT;11995;11;;;;;12008;11;12011;20;;;12001.5;-458.0
0;1300;ASH_COATED_OSMIUM;9993;11;9991;25;;;10009;11;10012;25;;;10001.0;6.11328125
0;1400;INTARIAN_PEPPER_ROOT;11995;10;11992;17;;;12008;10;;;;;12001.5;-450.0
0;1400;ASH_COATED_OSMIUM;9993;13;9990;23;;;10009;13;10011;23;;;10001.0;5.51953125
